@instagram;Instagram;672;Social media platform
@cristiano;Cristiano Ronaldo;630;Footballer
@leomessi;Lionel Messi;503;Footballer
@selenagomez;Selena Gomez;427;Musician and actress
@kyliejenner;Kylie Jenner;399;Media personality
@therock;Dwayne Johnson;397;Actor and professional wrestler
@arianagrande;Ariana Grande;379;Musician and actress
@kimkardashian;Kim Kardashian;362;Media personality
@beyonce;Beyoncé;318;Musician and actress
@khloekardashian;Khloé Kardashian;309;Media personality
@nike;Nike;306;Sportswear multinational
@kendalljenner;Kendall Jenner;293;Media personality
@justinbieber;Justin Bieber;293;Musician
@taylorswift;Taylor Swift;283;Musician
@natgeo;National Geographic;283;Magazine
@virat.kohli;Virat Kohli;269;Cricketer
@jlo;Jennifer Lopez;252;Musician and actress
@nickiminaj;Nicki Minaj;229;Musician
@kourtneykardash;Kourtney Kardashian;223;Media personality
@neymarjr;Neymar;221;Footballer
@mileycyrus;Miley Cyrus;216;Musician and actress
@katyperry;Katy Perry;206;Musician
@zendaya;Zendaya;184;Actress and singer
@kevinhart4real;Kevin Hart;179;Comedian and actor
@iamcardib;Cardi B;167;Musician and actress
@kingjames;LeBron James;159;Basketball player
@realmadrid;Real Madrid CF;159;Football club
@ddlovato;Demi Lovato;156;Musician and actress
@badgalriri;Rihanna;151;Musician
@champagnepapi;Drake;146;Musician
@chrisbrownofficial;Chris Brown;144;Musician
@ellendegeneres;Ellen DeGeneres;139;Comedian and television host
@fcbarcelona;FC Barcelona;127;Football club
@billieeilish;Billie Eilish;119;Musician
@championsleague;UEFA Champions League;115;Club football competition
@k.mbappe;Kylian Mbappé;114;Footballer
@gal_gadot;Gal Gadot;108;Actress
@lalalalisa_m;Lisa;103;Musician
@vindiesel;Vin Diesel;102;Actor
@nasa;NASA;98;Space agency
@priyankachopra;Priyanka Chopra;91.1;Actress
@shakira;Shakira;90.6;Musician
@shraddhakapoor;Shraddha Kapoor;89.5;Actress
@narendramodi;Narendra Modi;89.4;Prime Minister of India
@dualipa;Dua Lipa;88.2;Musician
@nba;NBA;88.2;Professional basketball league
@davidbeckham;David Beckham;87.8;Former footballer
@snoopdogg;Snoop Dogg;87.1;Musician
@jennierubyjane;Jennie;84.7;Musician
@aliaabhatt;Alia Bhatt;84.6;Actress
